,root_id,const,activation_25Hz,label,activation_50Hz,activation_75Hz,activation_100Hz,activation_125Hz,activation_150Hz,activation_175Hz,activation_200Hz,sense_syn_count,upstream_sensoryN,flow,super_class,class,sub_class,cell_type,hemibrain_type,hemilineage,side,nerve
206,720575940611906713,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,135.0,5.0,intrinsic,central,ALLN,,,l2LN22,ALl1_dorsal,left,
207,720575940612551594,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,39.0,5.0,intrinsic,central,ALPN,multiglomerular,,M_l2PNm14,ALl1_ventral,left,
208,720575940612856342,1,non activated,thermo,activated,activated,activated,activated,activated,activated,activated,80.0,3.0,intrinsic,central,ALPN,multiglomerular,,VP2+_adPN,ALad1,left,
209,720575940613635737,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,16.0,2.0,intrinsic,central,,,,OA-VUMa7,MX0__prim,center,
210,720575940616345686,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,10.0,2.0,intrinsic,central,ALPN,multiglomerular,M_l2PN10t19b,M_l2PN10t19,ALl1_ventral,left,
211,720575940616642790,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,5.0,1.0,intrinsic,central,ALLN,,,lLN13,ALl1_dorsal,left,
212,720575940617205179,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,5.0,1.0,intrinsic,central,ALLN,,,lLN2P_c,ALl1_dorsal,left,
213,720575940617422641,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,139.0,3.0,intrinsic,central,ALPN,multiglomerular,,VP3+_l2PN,ALl1_ventral,left,
214,720575940617441752,1,non activated,thermo,non activated,non activated,non activated,non activated,non activated,non activated,non activated,6.0,1.0,intrinsic,central,ALLN,,,v2LN4,ALv2,right,
215,720575940617839739,1,non activated,thermo,activated,activated,activated,activated,activated,activated,activated,24.0,3.0,intrinsic,central,ALPN,,CB3623,"VP2+Z_lvPN,Z_lvPNm1",ALlv1,left,
216,720575940618210614,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,354.0,4.0,intrinsic,central,ALPN,multiglomerular,,VP3+_l2PN,ALl1_ventral,left,
217,720575940618561403,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,11.0,2.0,intrinsic,central,ALLN,,lLN1_bc,"lLN1_b,lLN1_c",ALl1_dorsal,left,
218,720575940619417620,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,161.0,6.0,intrinsic,central,ALLN,,v2LN41b,v2LN41,ALv2,left,
219,720575940621164927,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,91.0,4.0,intrinsic,central,ALLN,,,l2LN20,ALl1_dorsal,left,
220,720575940621814054,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,94.0,4.0,intrinsic,central,ALLN,,,l2LN20,ALl1_dorsal,left,
221,720575940622054497,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,5.0,1.0,intrinsic,central,ALLN,,,lLN2P_a,ALl1_dorsal,left,
222,720575940622625279,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,440.0,6.0,intrinsic,central,ALLN,,v2LN41a,v2LN41,ALv2,left,
223,720575940623307447,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,72.0,7.0,intrinsic,central,ALPN,multiglomerular,CB1321,"VP1m+VP2_lvPN1,VP1m+VP2_lvPN2",ALlv1,left,
224,720575940623605943,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,404.0,3.0,intrinsic,central,ALPN,uniglomerular,,VP2_l2PN,ALl1_ventral,left,
225,720575940624450342,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,6.0,1.0,intrinsic,central,ALLN,,,lLN2P_b,ALl1_dorsal,left,
226,720575940625056509,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,5.0,1.0,intrinsic,central,ALPN,multiglomerular,,"M_ilPNm90,M_ilPN8t91",putative_primary,left,
227,720575940626143806,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,17.0,2.0,intrinsic,central,ALPN,uniglomerular,,V_ilPN,putative_primary,right,
228,720575940626650776,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,25.0,2.0,intrinsic,central,ALPN,multiglomerular,,VP2+VC5_l2PN,ALl1_ventral,right,
229,720575940627031226,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,12.0,2.0,intrinsic,central,ALLN,,CB3633,,ALv2,left,
230,720575940627265274,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,55.0,3.0,intrinsic,central,ALPN,multiglomerular,,VP2+VC5_l2PN,ALl1_ventral,left,
231,720575940628024107,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,13.0,1.0,intrinsic,central,ALPN,,CB3623,"VP2+Z_lvPN,Z_lvPNm1",ALlv1,left,
232,720575940630275269,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,118.0,3.0,intrinsic,central,ALPN,multiglomerular,,VP3+_l2PN,ALl1_ventral,right,
233,720575940630546540,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,32.0,4.0,intrinsic,central,ALPN,uniglomerular,,V_ilPN,putative_primary,left,
234,720575940630571052,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,5.0,1.0,intrinsic,central,ALLN,,lLN1_bc,"lLN1_b,lLN1_c",ALl1_dorsal,left,
