,root_id,flow,super_class,class,sub_class,cell_type,hemibrain_type,hemilineage,side,nerve
1398,720575940628703993,afferent,sensory,olfactory,,ORN_VM6v,ORN_VC5,,right,AN
1400,720575940616923905,afferent,sensory,olfactory,,,ORN_DL2v,,left,AN
1403,720575940622977799,afferent,sensory,olfactory,,,ORN_DL2v,,left,AN
1406,720575940626213642,afferent,sensory,olfactory,,,ORN_VM7d,,right,MxLbN
1407,720575940608273163,afferent,sensory,olfactory,,,ORN_VC4,,left,AN
1408,720575940607085323,afferent,sensory,olfactory,,ORN_VM6m,ORN_VC5,,left,AN
1412,720575940626631441,afferent,sensory,olfactory,,,ORN_DC2,,right,AN
1414,720575940626565907,afferent,sensory,olfactory,,,ORN_VC1,,right,MxLbN
1419,720575940614548253,afferent,sensory,olfactory,,,ORN_V,,left,AN
1423,720575940645808931,afferent,sensory,olfactory,,ORN_VM6v,ORN_VC5,,right,AN
1425,720575940616923945,afferent,sensory,olfactory,,,ORN_V,,left,AN
1431,720575940616203067,afferent,sensory,olfactory,,,ORN_DM2,,right,AN
1443,720575940639427416,afferent,sensory,olfactory,,,ORN_DM1,,left,AN
1444,720575940633471839,afferent,sensory,olfactory,,,ORN_DM1,,right,AN
1449,720575940627606375,afferent,sensory,olfactory,,,ORN_DP1l,,right,AN
1452,720575940638116723,afferent,sensory,olfactory,,,ORN_DL2d,,right,AN
1453,720575940620028788,afferent,sensory,olfactory,,,ORN_DM1,,right,AN
1454,720575940638165875,afferent,sensory,olfactory,,,ORN_VC1,,left,MxLbN
1455,720575940629588854,afferent,sensory,olfactory,,,ORN_DC3,,left,AN
1456,720575940649134969,afferent,sensory,olfactory,,,ORN_DM2,,right,AN
1457,720575940628499322,afferent,sensory,olfactory,,,ORN_V,,left,AN
1461,720575940628769662,afferent,sensory,olfactory,,,ORN_VL2p,,right,AN
1466,720575940646308740,afferent,sensory,olfactory,,,ORN_VL2p,,right,AN
1472,720575940635978638,afferent,sensory,olfactory,,,ORN_DL5,,right,AN
1483,720575940614212514,afferent,sensory,olfactory,,,ORN_DM4,,right,AN
1490,720575940611845034,afferent,sensory,olfactory,,,ORN_DC1,,right,AN
1491,720575940612901807,afferent,sensory,olfactory,,,ORN_V,,left,AN
1492,720575940605742002,afferent,sensory,olfactory,,,ORN_DC1,,right,AN
1501,720575940622961604,afferent,sensory,olfactory,,ORN_VC3,ORN_VC3l,,right,AN
1511,720575940629965788,afferent,sensory,olfactory,,,ORN_D,,right,AN
1514,720575940634733537,afferent,sensory,olfactory,,ORN_VM6v,ORN_VC5,,left,AN
1522,720575940612615149,afferent,sensory,olfactory,,,ORN_VL2p,,right,AN
1524,720575940619373551,afferent,sensory,olfactory,,,ORN_DL1,,left,AN
1530,720575940629154810,afferent,sensory,olfactory,,,ORN_DC1,,right,AN
1540,720575940626893834,afferent,sensory,olfactory,,ORN_VC3,ORN_VC3l,,left,AN
1542,720575940619725844,afferent,sensory,olfactory,,,ORN_DM2,,right,AN
1562,720575940615146562,afferent,sensory,olfactory,,,ORN_DC4,,right,AN
1565,720575940610124868,afferent,sensory,olfactory,,,ORN_D,,left,AN
1566,720575940623567945,afferent,sensory,olfactory,,,ORN_VM7d,,right,MxLbN
1573,720575940638026842,afferent,sensory,olfactory,,,ORN_V,,left,AN
1576,720575940634078303,afferent,sensory,olfactory,,,ORN_DM4,,left,AN
1580,720575940621585507,afferent,sensory,olfactory,,ORN_VC3,ORN_VC3l,,right,AN
1581,720575940625583204,afferent,sensory,olfactory,,,ORN_DC4,,right,AN
1583,720575940636093541,afferent,sensory,olfactory,,,ORN_DM1,,right,AN
1590,720575940634913911,afferent,sensory,olfactory,,,ORN_VA7l,,left,MxLbN
1596,720575940621044863,afferent,sensory,olfactory,,,ORN_VA3,,right,AN
1607,720575940614327442,afferent,sensory,olfactory,,,ORN_DC2,,right,AN
1627,720575940625337546,afferent,sensory,olfactory,,,ORN_D,,left,AN
1630,720575940639116496,afferent,sensory,olfactory,,,ORN_VM7d,,left,MxLbN
1637,720575940621315293,afferent,sensory,olfactory,,,ORN_V,,left,AN
1647,720575940621192436,afferent,sensory,olfactory,,,ORN_V,,left,AN
1657,720575940627000582,afferent,sensory,olfactory,,,ORN_DP1m,,right,AN
1663,720575940614778124,afferent,sensory,olfactory,,ORN_VC3,ORN_VC3l,,left,AN
1670,720575940617825563,afferent,sensory,olfactory,,,ORN_DM1,,right,AN
1672,720575940614548765,afferent,sensory,olfactory,,,ORN_V,,left,AN
1677,720575940645686564,afferent,sensory,olfactory,,,ORN_DC4,,right,AN
1679,720575940617989417,afferent,sensory,olfactory,,,ORN_V,,left,AN
1684,720575940631014703,afferent,sensory,olfactory,,,ORN_DL1,,right,AN
1696,720575940631842119,afferent,sensory,olfactory,,,ORN_DC4,,right,AN
1701,720575940626984274,afferent,sensory,olfactory,,,ORN_DL1,,right,AN
1705,720575940621307230,afferent,sensory,olfactory,,,ORN_VM7d,,right,MxLbN
1707,720575940633259360,afferent,sensory,olfactory,,,ORN_DL5,,right,AN
1715,720575940635757936,afferent,sensory,olfactory,,,ORN_DM1,,right,AN
1724,720575940637887872,afferent,sensory,olfactory,,ORN_VM6v,ORN_VC5,,right,AN
1725,720575940658539905,afferent,sensory,olfactory,,,ORN_D,,left,AN
1731,720575940624739728,afferent,sensory,olfactory,,,ORN_DL2v,,right,AN
1733,720575940624878992,afferent,sensory,olfactory,,,ORN_VL2p,,right,AN
1735,720575940626107800,afferent,sensory,olfactory,,,ORN_DP1l,,left,AN
1737,720575940635094426,afferent,sensory,olfactory,,,ORN_DM2,,left,AN
1741,720575940653829537,afferent,sensory,olfactory,,,ORN_DM4,,left,AN
1743,720575940640837027,afferent,sensory,olfactory,,,ORN_VM7v,,right,MxLbN
1747,720575940635159982,afferent,sensory,olfactory,,,ORN_VM7d,,left,MxLbN
1750,720575940620217782,afferent,sensory,olfactory,,,ORN_DC2,,left,AN
1762,720575940619111883,afferent,sensory,olfactory,,ORN_VC3,ORN_VC3l,,left,AN
1763,720575940632014284,afferent,sensory,olfactory,,,ORN_DL2v,,right,AN
1765,720575940610059726,afferent,sensory,olfactory,,,ORN_DM1,,right,AN
1771,720575940629728732,afferent,sensory,olfactory,,,ORN_DM1,,right,AN
1783,720575940623265258,afferent,sensory,olfactory,,,ORN_D,,left,AN
1790,720575940626779644,afferent,sensory,olfactory,,,ORN_DM1,,left,AN
1797,720575940626607626,afferent,sensory,olfactory,,,ORN_VA3,,right,AN
1805,720575940616924701,afferent,sensory,olfactory,,,ORN_VM5v,,right,AN
1818,720575940632284717,afferent,sensory,olfactory,,ORN_VC5,ORN_VC3m,,left,AN
1823,720575940629343799,afferent,sensory,olfactory,,,ORN_DL2d,,left,AN
1826,720575940616482363,afferent,sensory,olfactory,,,ORN_DC1,,right,AN
1829,720575940617899584,afferent,sensory,olfactory,,,ORN_VL2p,,left,AN
1831,720575940616793669,afferent,sensory,olfactory,,,ORN_VM1,,left,AN
1835,720575940630662737,afferent,sensory,olfactory,,,ORN_DM4,,left,AN
1838,720575940617645652,afferent,sensory,olfactory,,,ORN_DM2,,left,AN
1842,720575940638871128,afferent,sensory,olfactory,,,ORN_VA7m,,right,AN
1851,720575940614155882,afferent,sensory,olfactory,,,ORN_VC1,,right,MxLbN
1859,720575940619210375,afferent,sensory,olfactory,,,ORN_D,,right,AN
1865,720575940624223888,afferent,sensory,olfactory,,,ORN_DM1,,left,AN
1866,720575940624641680,afferent,sensory,olfactory,,,ORN_VC4,,right,AN
1870,720575940633857687,afferent,sensory,olfactory,,,ORN_VC2,,right,MxLbN
1890,720575940625657530,afferent,sensory,olfactory,,,ORN_DC4,,left,AN
1895,720575940620193472,afferent,sensory,olfactory,,ORN_VM6v,ORN_VC5,,right,AN
1902,720575940632637139,afferent,sensory,olfactory,,,ORN_DL5,,right,AN
1907,720575940629728988,afferent,sensory,olfactory,,,ORN_DM4,,right,AN
1909,720575940615302879,afferent,sensory,olfactory,,,ORN_DM4,,left,AN
1923,720575940622987007,afferent,sensory,olfactory,,,ORN_DC1,,right,AN
